PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Rowan Heinze,Cory Dennis,Bard College,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Finn Cork,Jack Dalgety,Clarkson University Golden Knights,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Josiah Turner,Keegan Ocorr,Rochester Institute of Technology Tigers,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0,0
Jonny Angbazo,Avery Eugster,Rensselaer Polytechnic,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Carter Meshanic,Pat Healy,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Carter Meshanic,Aidan Rodgers,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Hunter Meshanic,Alex Moesch,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Carter Meshanic,Ryan Lucey,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Jonny Angbazo,Pat White,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Jonny Angbazo,Yechiel Stewart,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Jonny Angbazo,PJ Scalisi,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Kenny Wilburn,Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Kenny Wilburn,Brock Bowen,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Josiah Turner,Brody Brown,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Edward Baptiste,Luke Mcgarrity,Union (NY) Dutchmen,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Josiah Turner,Brock Bowen,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Logan Scott,Luke Adams,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Kenny Wilburn,Chase Dickens,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Cody Schneider,Paris Jamison,Alfred State Pioneers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Ryan Miles-Ferguson,Jack Dalgety,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Finn Cork,Steve DeRegis,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Alex Antsiferov,Blessed Mbogo,Gallaudet University Bison,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Isaiah Washington,Ryan Lucey,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Alex Penders,Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Nate Tawiah-Boateng,Yechiel Stewart,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Andrew Deppe,PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Avery Eugster,Jonny Angbazo,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Nick Padilla,Joey Skoric,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Jackson Otis,Brock Bowen,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Andrew Cowan,Adam Dudzinski,St. Lawrence Saints,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Aiden Macaulay,Trey Syroka,St. Lawrence Saints,1,1,0,0.0,0,0,,0,0,,0.0,0,0
