Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Carter Seeberger,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Carter Seeberger,Elmira,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Carter Seeberger,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Carter Seeberger,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_misc_efficiency.csv,,
Carter Seeberger,Elmira,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Carter Seeberger,Elmira,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Carter Seeberger,Elmira,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_pnr_efficiency.csv,,
Carter Seeberger,Elmira,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_pnr_offpick_efficiency.csv,,
Carter Seeberger,Elmira,3,1,0,0.0,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Carter Seeberger,Elmira,3,1,0,0.0,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Carter Seeberger,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Carter Seeberger,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Carter Seeberger,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_straightdrive_efficiency.csv,,
Carter Seeberger,Elmira,2,0,0,,2,1,50.0,1,0,0.0,50.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Carter Seeberger,Elmira,11,1,0,0.0,8,4,50.0,3,0,0.0,44.44444,1.0,1.0,playerefficiency.csv,,
Carter Seeberger,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyleft.csv,,
Carter Seeberger,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,playerefficiencyright.csv,,
