Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Blessed Mbogo,Gallaudet University Bison,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_dribble_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,3,2,0,0.0,0,0,,1,0,0.0,0.0,0.0,1.0,player_offscreens_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,1,0,0.0,,0.0,1.0,player_offscreens_leftshoulder_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,1,0,0.0,,0.0,1.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_flare_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,1,0,0.0,0,0,,1,0,0.0,0.0,0.0,1.0,player_offscreens_straight_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhright_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhright_offpick_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,3,1,0,0.0,2,1,50.0,2,1,50.0,33.33333,0.0,0.0,player_pnr_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,3,1,0,0.0,2,1,50.0,2,1,50.0,33.33333,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,0,0,,2,1,50.0,1,0,0.0,50.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,4,2,1,50.0,2,1,50.0,1,0,0.0,62.5,0.0,0.0,player_spotup_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,2,0,0,,2,1,50.0,1,0,0.0,50.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_transition_bh_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,19,9,3,33.3333,5,3,60.0,4,1,25.0,53.57143,3.0,2.0,playerefficiency.csv,,
Blessed Mbogo,Gallaudet University Bison,5,2,0,0.0,2,1,50.0,1,0,0.0,25.0,1.0,0.0,playerefficiencyleft.csv,,
Blessed Mbogo,Gallaudet University Bison,3,0,0,,1,1,100.0,2,1,50.0,100.0,1.0,1.0,playerefficiencyright.csv,,
,Gallaudet University Bison,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_rollman_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_pop_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_rightdrive_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_rightdrive_pop_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_rollman_slip_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Alex Antsiferov,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhhigh_rollmanpops_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
,Gallaudet University Bison,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanslips_efficiency.csv,Bruce Brewer Jr,Blessed Mbogo
