Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Logan Wendell,Ithaca College,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Logan Wendell,Ithaca College,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_cut_efficiency.csv,,
Logan Wendell,Ithaca College,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Logan Wendell,Ithaca College,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Logan Wendell,Ithaca College,2,0,0,,0,0,,1,0,0.0,,0.0,2.0,player_handoffs_bhright_dribble_efficiency.csv,,
Logan Wendell,Ithaca College,2,0,0,,0,0,,1,0,0.0,,0.0,2.0,player_handoffs_bhright_efficiency.csv,,
Logan Wendell,Ithaca College,4,2,0,0.0,0,0,,1,0,0.0,0.0,0.0,2.0,player_handoffs_dribble_efficiency.csv,,
Logan Wendell,Ithaca College,4,2,0,0.0,0,0,,1,0,0.0,0.0,0.0,2.0,player_handoffs_efficiency.csv,,
Logan Wendell,Ithaca College,4,0,0,,3,0,0.0,1,0,0.0,0.0,0.0,1.0,player_iso_efficiency.csv,,
Logan Wendell,Ithaca College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_right_efficiency.csv,,
Logan Wendell,Ithaca College,3,0,0,,2,0,0.0,0,0,,0.0,0.0,1.0,player_iso_top_efficiency.csv,,
Logan Wendell,Ithaca College,4,2,0,0.0,0,0,,0,0,,0.0,2.0,0.0,player_misc_efficiency.csv,,
Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Logan Wendell,Ithaca College,5,1,1,100.0,3,1,33.3333,0,0,,62.5,1.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Logan Wendell,Ithaca College,5,1,1,100.0,3,1,33.3333,0,0,,62.5,1.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Logan Wendell,Ithaca College,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Logan Wendell,Ithaca College,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Logan Wendell,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_pnr_bhleft_rejectpick_efficiency.csv,,
Logan Wendell,Ithaca College,8,1,1,100.0,6,3,50.0,0,0,,64.28571,1.0,0.0,player_pnr_efficiency.csv,,
Logan Wendell,Ithaca College,7,1,1,100.0,5,2,40.0,0,0,,58.33333,1.0,0.0,player_pnr_offpick_efficiency.csv,,
Logan Wendell,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Logan Wendell,Ithaca College,5,0,0,,4,2,50.0,1,0,0.0,50.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Logan Wendell,Ithaca College,8,3,1,33.3333,4,2,50.0,1,0,0.0,50.0,1.0,0.0,player_spotup_efficiency.csv,,
Logan Wendell,Ithaca College,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Logan Wendell,Ithaca College,3,0,0,,3,1,33.3333,1,0,0.0,33.33333,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Logan Wendell,Ithaca College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Logan Wendell,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_spotup_straightdrive_efficiency.csv,,
Logan Wendell,Ithaca College,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_transition_bh_efficiency.csv,,
Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Logan Wendell,Ithaca College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_transition_trailer_efficiency.csv,,
Logan Wendell,Ithaca College,36,11,3,27.2727,16,7,43.75,3,0,0.0,42.59259,5.0,4.0,playerefficiency.csv,,
Logan Wendell,Ithaca College,8,2,0,0.0,6,3,50.0,1,0,0.0,37.5,0.0,0.0,playerefficiencyleft.csv,,
Logan Wendell,Ithaca College,5,1,0,0.0,1,0,0.0,2,0,0.0,0.0,1.0,2.0,playerefficiencyright.csv,,
,Ithaca College,3,3,2,66.6667,0,0,,0,0,,100.0,0.0,0.0,player_rollman_efficiency.csv,Logan Wendell,Triston Wennersten
,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_efficiency.csv,Logan Wendell,Alex Penders
,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_rollman_efficiency.csv,Logan Wendell,Gavin Schauder
