Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Josiah Turner,Rochester Institute of Technology Tigers,27,0,0,,24,15,62.5,0,0,,62.5,1.0,2.0,player_cut_basket_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,46,0,0,,38,22,57.8947,0,0,,57.89474,3.0,5.0,player_cut_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,4,0,0,,3,1,33.3333,0,0,,33.33333,0.0,1.0,player_cut_flash_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,15,0,0,,11,6,54.5455,0,0,,54.54545,2.0,2.0,player_cut_screen_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,15,0,0,,9,3,33.3333,0,0,,33.33333,1.0,5.0,player_iso_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_iso_left_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_right_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,13,0,0,,9,3,33.3333,0,0,,33.33333,0.0,4.0,player_iso_top_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,10,0,0,,3,3,100.0,0,0,,100.0,6.0,1.0,player_misc_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,26,0,0,,13,11,84.6154,0,0,,84.61538,9.0,4.0,player_post_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,6,0,0,,2,2,100.0,0,0,,100.0,3.0,1.0,player_post_faceup_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,11,0,0,,6,4,66.6667,0,0,,66.66667,4.0,1.0,player_post_leftblock_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,,0,0,,0,0,,,2.0,0.0,player_post_leftblock_faceup_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_post_leftblock_leftshoulder_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,8,0,0,,6,4,66.6667,0,0,,66.66667,1.0,1.0,player_post_leftblock_rightshoulder_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,4,0,0,,0,0,,0,0,,,3.0,1.0,player_post_leftshoulder_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_post_middle_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_post_middle_faceup_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,13,0,0,,6,6,100.0,0,0,,100.0,4.0,3.0,player_post_rightblock_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,0.0,1.0,player_post_rightblock_faceup_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,3,0,0,,0,0,,0,0,,,2.0,1.0,player_post_rightblock_leftshoulder_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,7,0,0,,5,5,100.0,0,0,,100.0,2.0,0.0,player_post_rightblock_rightshoulder_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,15,0,0,,11,9,81.8182,0,0,,81.81818,3.0,1.0,player_post_rightshoulder_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,22,1,1,100.0,15,8,53.3333,0,0,,59.375,3.0,3.0,player_spotup_drive_efficiency.csv,,
Josiah Turner,Rochester Institute of Technology Tigers,43,19,7,36.8421,18,10,55.5556,3,2,66.6667,55.40541,3.0,3.0,player_spotup_efficiency.csv,,
