Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Prince Shyllon,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_handoffs_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,3,2,2,100.0,1,1,100.0,1,1,100.0,133.33333,0.0,0.0,player_offscreens_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,1,1,100.0,1,1,100.0,1,1,100.0,125.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,1,1,100.0,1,1,100.0,1,1,100.0,125.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,3,2,2,100.0,1,1,100.0,1,1,100.0,133.33333,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,3,0,0,,3,1,33.3333,1,0,0.0,33.33333,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,3,0,0,,3,1,33.3333,1,0,0.0,33.33333,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,4,0,0,,4,2,50.0,2,1,50.0,50.0,0.0,0.0,player_pnr_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,4,0,0,,4,2,50.0,2,1,50.0,50.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,4,2,0,0.0,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,14,6,3,50.0,8,4,50.0,6,3,50.0,60.71429,0.0,0.0,playerefficiency.csv,,
Prince Shyllon,Skidmore Thoroughbreds,5,2,1,50.0,3,2,66.6667,3,2,66.6667,70.0,0.0,0.0,playerefficiencyleft.csv,,
Prince Shyllon,Skidmore Thoroughbreds,2,1,1,100.0,1,0,0.0,1,0,0.0,75.0,0.0,0.0,playerefficiencyright.csv,,
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Nick Padilla,Prince Shyllon
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnrbhright_spotupdrives_efficiency.csv,Nick Padilla,Prince Shyllon
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Nick Padilla,Prince Shyllon
