Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Avery Lee,Vassar Brewers,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_pnr_bhhigh_rejectpick_efficiency.csv,,
Avery Lee,Vassar Brewers,3,0,0,,2,0,0.0,1,0,0.0,0.0,1.0,0.0,player_pnr_bhleft_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Avery Lee,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhleft_rejectpick_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,0,0,,0,0,,,1.0,1.0,player_pnr_bhright_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,0,0,,0,0,,,1.0,1.0,player_pnr_bhright_offpick_efficiency.csv,,
Avery Lee,Vassar Brewers,8,0,0,,5,2,40.0,1,0,0.0,40.0,2.0,1.0,player_pnr_efficiency.csv,,
Avery Lee,Vassar Brewers,6,0,0,,3,1,33.3333,0,0,,33.33333,2.0,1.0,player_pnr_offpick_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,2,1,50.0,1,0,0.0,50.0,0.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Avery Lee,Vassar Brewers,5,0,0,,4,0,0.0,1,0,0.0,0.0,0.0,1.0,player_spotup_drive_efficiency.csv,,
Avery Lee,Vassar Brewers,10,5,1,20.0,4,0,0.0,1,0,0.0,16.66667,0.0,1.0,player_spotup_efficiency.csv,,
Avery Lee,Vassar Brewers,5,5,1,20.0,0,0,,0,0,,30.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_spotup_leftdrive_efficiency.csv,,
Avery Lee,Vassar Brewers,3,0,0,,3,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Avery Lee,Vassar Brewers,2,0,0,,1,1,100.0,0,0,,100.0,0.0,1.0,player_transition_bh_efficiency.csv,,
Avery Lee,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Avery Lee,Vassar Brewers,25,6,1,16.6667,13,6,46.1538,2,0,0.0,39.47368,3.0,3.0,playerefficiency.csv,,
Avery Lee,Vassar Brewers,5,0,0,,3,0,0.0,2,0,0.0,0.0,1.0,1.0,playerefficiencyleft.csv,,
Avery Lee,Vassar Brewers,6,0,0,,4,1,25.0,0,0,,25.0,1.0,1.0,playerefficiencyright.csv,,
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_efficiency.csv,Avery Lee,Logan Scott
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_roll_efficiency.csv,Avery Lee,Logan Scott
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Avery Lee,Shea Fitzgerald
,Vassar Brewers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Avery Lee,Alex Walters
,Vassar Brewers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Avery Lee,Luke Adams
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Avery Lee,Shea Fitzgerald
,Vassar Brewers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Avery Lee,Alex Walters
,Vassar Brewers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Avery Lee,Luke Adams
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhright_rollman_efficiency.csv,Avery Lee,Logan Scott
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Shea Fitzgerald,Avery Lee
,Vassar Brewers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Shea Fitzgerald,Avery Lee
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Shea Fitzgerald,Avery Lee
,Vassar Brewers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Shea Fitzgerald,Avery Lee
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Avery Lee,Shea Fitzgerald
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhright_rollmanrolls_efficiency.csv,Avery Lee,Logan Scott
,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_iso_spotupjumpers_efficiency.csv,Shea Fitzgerald,Avery Lee
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Shea Fitzgerald,Avery Lee
